read_pct_rounded,pause,bandwidth_mean,bandwidth_std,rd_percentage_actual_mean,latency_mean,latency_std,bandwidth_smooth,latency_smooth,rw_ratio
50.0,40000.0,0.0,0.003936718009306831,0.4992068151740977,129.3227620203802,0.36291627619119665,0.0,129.3227620203802,50
50.0,1500.0,26.879668480000003,0.05154432916635271,0.5018827567252919,137.5640804727768,0.04688302305019627,26.879668480000003,137.5640804727768,50
50.0,900.0,43.900789546666665,0.011907298198288216,0.5008764128113123,145.13021485297102,0.06160641702172659,43.900789546666665,145.13021485297102,50
50.0,700.0,55.71278016,0.02621835147562225,0.5007964357354688,153.1733806893582,0.08274498609659531,55.71278016,153.1733806893582,50
50.0,600.0,64.29074517333333,0.02366931416697006,0.5005882477703643,160.92042886778214,0.01959003796255391,64.29074517333333,160.92042886778214,50
50.0,450.0,83.83098581333333,0.04206231541193302,0.5006242894523562,186.4941746306619,0.02297247837396168,83.83098581333333,186.4941746306619,50
50.0,380.0,97.56082624,0.055901938550191085,0.5006756611477498,219.9351078998311,0.063436685573935,97.56082624,219.9351078998311,50
50.0,340.0,107.72149205333334,0.14994053118253506,0.5005585474937145,270.0545064700903,0.3199827238004095,107.72149205333334,270.0545064700903,50
50.0,300.0,118.20161536,0.01877497936177014,0.500579317280631,383.3492193096677,0.342404691562089,118.20161536,383.3492193096677,50
51.0,100000.0,0.0,,0.5082237195671022,129.1340938388532,0.05728187124623526,0.0,129.1340938388532,51
51.0,1500.0,26.82858922666667,0.014897431789692701,0.5102340185280835,137.094581119833,0.019866815753718913,26.82858922666667,137.094581119833,51
51.0,900.0,43.83274730666667,0.040945780283403135,0.5101166530790816,144.36152364731709,0.057056170966504706,43.83274730666667,144.36152364731709,51
51.0,700.0,55.63612906666666,0.013802662663779849,0.5102075413771584,152.39837238497066,0.02726456211581698,55.63612906666666,152.39837238497066,51
51.0,550.0,69.47900501333334,0.02778700282965805,0.5113248207350584,165.43296272565183,0.11684992311528725,69.47900501333334,165.43296272565183,51
51.0,450.0,83.88561941333334,0.02923515679391676,0.5118185778362122,185.6857801669447,0.15817447084019565,83.88561941333334,185.6857801669447,51
51.0,380.0,97.50686314666666,0.02125400868614678,0.5119815754605727,218.9571287146223,0.11245986427877994,97.50686314666666,218.9571287146223,51
51.0,340.0,107.34414229333333,0.03904972811167708,0.5120148692739415,266.60447887101685,0.11987977186036397,107.34414229333333,266.60447887101685,51
51.0,300.0,117.40574826666666,0.05324244218814426,0.51181316394094,370.66200796337836,0.3858638813339937,117.40574826666666,370.66200796337836,51
53.0,200000.0,0.0,0.004713290960677028,0.5270186892704471,129.0557905221173,0.22208711381540963,0.0,129.0557905221173,53
53.0,1500.0,27.7987024,1.103551741042284,0.5284404392380552,137.38051248827122,0.2805056993125112,27.7987024,137.38051248827122,53
53.0,900.0,45.398156160000006,1.699507696092136,0.5280402573392231,145.06119142462225,0.8854894753507868,45.398156160000006,145.06119142462225,53
53.0,700.0,57.51780490666667,2.2114540095169914,0.527978071483298,153.4825124044089,1.6896172771671478,57.51780490666667,153.4825124044089,53
53.0,600.0,66.29416554666666,2.5139975682846134,0.5280398485397797,161.69154660713914,2.461890302028494,66.29416554666666,161.69154660713914,53
53.0,450.0,86.87539765333334,3.200274589754072,0.5310543066855388,190.10907902877622,5.971319291844617,86.87539765333334,190.10907902877622,53
53.0,380.0,104.54042176,0.21206587281310418,0.5300578026581025,242.93590726946067,0.14691070255689673,104.54042176,242.93590726946067,53
53.0,340.0,114.79314816,0.27402161765808014,0.5295122750469122,320.5011215543504,0.5614342898815446,114.79314816,320.5011215543504,53
53.0,80.0,119.85693429333332,0.15537172958656703,0.5294044768635356,528.8872827240593,5.1272291380925505,119.85693429333332,528.8872827240593,53
54.0,200000.0,0.0,0.009651881429524509,0.5397013564206918,129.07880886406477,0.2876584220184368,0.0,129.07880886406477,54
54.0,1500.0,28.43593728,0.019295200153237407,0.5401263213444255,137.72455081121527,0.026328080978465018,28.43593728,137.72455081121527,54
54.0,900.0,46.44534122666666,0.009897346134900665,0.5396052717166225,145.4687039270113,0.1277960638242028,46.44534122666666,145.4687039270113,54
54.0,700.0,58.91220330666667,0.011123067236641731,0.5395150097861116,154.37764020789257,0.016896088911332312,58.91220330666667,154.37764020789257,54
54.0,600.0,67.88164095999998,0.05370990747761962,0.5397763931902428,162.7428495291658,0.025835477234271913,67.88164095999998,162.7428495291658,54
54.0,380.0,98.30631082666667,0.03888306762459995,0.5364909990800277,216.96384164434957,0.33749732999645443,98.30631082666667,216.96384164434957,54
54.0,340.0,108.33362901333334,0.03349781338155218,0.5367934358651897,263.2852727882615,0.1809871919401091,108.33362901333334,263.2852727882615,54
54.0,300.0,119.09731626666667,0.6549811698029973,0.539235644832094,413.02653939705874,42.73961265208556,119.09731626666667,413.02653939705874,54
55.0,200000.0,0.0,0.02667502140336888,0.5502280246378669,129.15953960850672,0.4180674313159602,0.0,129.15953960850672,55
55.0,1500.0,26.692329173333334,0.016650372721897056,0.5488886754534678,137.270499777371,0.08062308615984927,26.692329173333334,137.270499777371,55
55.0,800.0,48.78403178666667,0.08402965792155902,0.5489153470458215,146.98462164702948,0.02820854976331142,48.78403178666667,146.98462164702948,55
55.0,600.0,63.735885440000004,0.08781701491683015,0.5488330851480454,158.53614733392388,0.0687955482952909,63.735885440000004,158.53614733392388,55
55.0,450.0,86.6070272,3.2836096130618833,0.5486206873571252,187.65058807165937,6.169537117640241,86.6070272,187.65058807165937,55
