read_pct_rounded,pause,bandwidth_mean,bandwidth_std,rd_percentage_actual_mean,latency_mean,latency_std,bandwidth_smooth,latency_smooth,rw_ratio
50.0,40000.0,0.0,0.0016963020276143444,0.5033245309480012,110.73201430271263,0.3679765817194045,0.0,110.73201430271263,50
50.0,900.0,43.3509144888889,0.02634701285285292,0.5003106347804501,116.54005711085985,0.037123720079628164,43.3509144888889,116.54005711085985,50
50.0,450.0,82.50304156444444,0.262760377427847,0.5002984017859747,124.04023519619473,0.0935773142493337,82.50304156444444,124.04023519619473,50
50.0,340.0,106.30205546666667,0.18389833920078974,0.5002274525224725,131.0250446084306,0.14659331259261693,106.30205546666667,131.0250446084306,50
50.0,260.0,134.30699612444445,0.0686053371928805,0.5001649357501909,142.71843667912344,0.07790163240816389,134.30699612444445,142.71843667912344,50
50.0,220.0,154.30847559111112,0.2129885558170535,0.5001761760368798,153.81556583248877,0.21317737415818477,154.30847559111112,153.81556583248877,50
50.0,200.0,167.23191032888892,0.04144229530662972,0.5001486805945331,162.99518745651855,0.2605732500864045,167.23191032888892,162.99518745651855,50
50.0,180.0,186.28600561777776,0.1504644939922117,0.5001039837619765,181.89457168479058,0.2018987490969137,186.28600561777776,181.89457168479058,50
50.0,160.0,204.74618808888889,0.5775853556118645,0.5001208508492363,209.85476386093424,3.161729835295513,204.74618808888889,209.85476386093424,50
50.0,0.0,231.3510514488889,0.20391050191715454,0.4987547158072776,323.86544174567524,2.518696700076064,231.3510514488889,323.86544174567524,50
50.0,45.0,236.63136248888887,0.033839503561670974,0.49563577401297687,364.26808353361184,10.283240949564254,236.63136248888887,364.26808353361184,50
51.0,100000.0,0.0,0.002919238491631348,0.5112634671602423,110.43100212485213,0.2840360785390892,0.0,110.43100212485213,51
51.0,1000.0,38.95097649777778,0.038804236456301475,0.5091535831425307,116.69049211567403,0.06014991699403549,38.95097649777778,116.69049211567403,51
51.0,450.0,82.89629376,0.032140506294337276,0.5107064499123962,124.71944679982981,0.025951550758125157,82.89629376,124.71944679982981,51
51.0,340.0,106.61493546666667,0.03329438977586559,0.5117009141105803,131.71433390393702,0.18076319610903532,106.61493546666667,131.71433390393702,51
51.0,260.0,133.3295980088889,0.6625114284683672,0.5117381895092034,142.34355293299302,0.8183337774118585,133.3295980088889,142.34355293299302,51
51.0,220.0,152.84493873777777,0.8536167128804782,0.5117194941367581,152.96900888417665,1.3294593433534776,152.84493873777777,152.96900888417665,51
51.0,200.0,166.43962986666668,0.09086272042775197,0.5115999370436949,162.92379728401542,1.7443818884659772,166.43962986666668,162.92379728401542,51
51.0,180.0,180.31653105777778,0.2912079925741642,0.5114669870156686,176.22639266331467,1.750737493254416,180.31653105777778,176.22639266331467,51
51.0,160.0,194.28797290666668,0.43891280032284524,0.511439550852785,193.62855129122227,3.0807226647832398,194.28797290666668,193.62855129122227,51
51.0,0.0,233.6935394133333,0.206981551941707,0.5090692009917607,330.3993680651134,1.3428214222340855,233.6935394133333,330.3993680651134,51
53.0,100000.0,0.0,0.026394836117017862,0.5298551334729871,110.38354496353327,0.49461976393928836,0.0,110.38354496353327,53
53.0,1000.0,40.446579022222224,1.5218732092827334,0.527824026240988,115.9208254370676,0.37690798724988905,40.446579022222224,115.9208254370676,53
53.0,450.0,85.47257287111113,3.144139395131828,0.5281893516369557,124.12228030437036,0.8047873578242399,85.47257287111113,124.12228030437036,53
53.0,340.0,110.68330631111111,4.452753802182777,0.5306468835385018,131.53152655425262,1.6791959371176992,110.68330631111111,131.53152655425262,53
53.0,260.0,143.9864864711111,1.020340358470097,0.5293364889176847,145.4633974897592,1.09912588187412,143.9864864711111,145.4633974897592,53
53.0,220.0,165.0796945777778,0.760372787505432,0.5290816265726582,158.04314783889745,1.9728509082890606,165.0796945777778,158.04314783889745,53
53.0,200.0,178.70842936888891,0.21851900569701074,0.5290101501406802,169.48842632118445,1.187363246096641,178.70842936888891,169.48842632118445,53
53.0,180.0,186.64696732444443,8.628661412889123,0.5310463201337328,179.5662895469775,9.598866493497386,186.64696732444443,179.5662895469775,53
53.0,160.0,201.5622217955556,7.383472251111892,0.5308194523230102,201.9518661841378,12.924102334314593,201.5622217955556,201.9518661841378,53
53.0,0.0,233.108934016,1.5827467690284776,0.529358851460068,310.0739818406163,18.859093808009014,233.108934016,310.0739818406163,53
53.0,120.0,238.19164672,0.1055035721004945,0.5297032876706084,366.2285624559209,3.3838748933979135,238.19164672,366.2285624559209,53
54.0,100000.0,0.0,0.03493631101848888,0.5410097951963758,110.29609316117273,0.49461976393928836,0.0,110.29609316117273,54
54.0,1000.0,41.40782037333333,0.04093817153523962,0.5394353110451408,116.4279116359371,0.034176972839247886,41.40782037333333,116.4279116359371,54
54.0,450.0,87.57172899555555,0.028972275790226997,0.5397945619762794,124.90859803788108,0.09559417340474215,87.57172899555555,124.90859803788108,54
54.0,340.0,113.52490524444447,0.21984213716173936,0.5445337822546686,132.60601038448831,0.21383714935942652,113.52490524444447,132.60601038448831,54
54.0,260.0,135.39551914666666,0.5877269094877791,0.5367683552247628,141.42626266948784,0.425992590227706,135.39551914666666,141.42626266948784,54
54.0,220.0,154.82504739555554,0.7257826102892048,0.5363728865571943,151.40532001652505,0.9869426140805087,154.82504739555554,151.40532001652505,54
54.0,200.0,167.40929749333336,0.5716841486587675,0.5364119482828246,159.9877715933832,1.6310158294228687,167.40929749333336,159.9877715933832,54
54.0,0.0,232.99286592,0.04201639545445334,0.5418341923900826,322.3878893926994,0.3537213110846536,232.99286592,322.3878893926994,54
